id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
4cc8db70368341fe93f800d784b0e005,This Is the President,this-is-the-president,1499,2021-12-06T18:00:00.000Z,Windows,This Is the President is a political thriller. You are the newly elected leader with a shady background. It is up to you to abuse the position of the most powerful man in the world to escape justice for past crimes.,SuperPAC,THQ Nordic,"SIMULATION,STRATEGY,ADVENTURE"
5edcd2a5ab594ff59865f03fc904e5e7,SpellForce 3 Reforced,spellforce-3,3999,2021-12-06T18:00:00.000Z,Windows,"SpellForce 3 - The perfect blend between RTS and RPG! It is the year 518. The rebellion of the renegade mages, known as the Mage Wars, has been quashed by the Crown.",Grimlore Games,THQ Nordic,"RPG,STRATEGY,FANTASY"
cc151ffe9d5745a69a9c2c6be353d6da,Wolfstride,wolfstride,1499,2021-12-07T20:00:00.000Z,Windows,"Get wrecked in this immature grown-up RPG about a trio of troublemakers stumbling their way through a giant mecha tournament. Repair, upgrade, pick up odd jobs, and battle the best all while running from the regrettable choices of the past.",,,"ACTION,ADVENTURE,STRATEGY"
bdd8a627c9914901a37edf6347c6b49e,NARAKA: BLADEPOINT,naraka-bladepoint,1999,2021-12-08T16:00:00.000Z,Windows,"NARAKA: BLADEPOINT is an up to 60-player PVP mythical action combat experience with martial arts inspired melee combat, gravity defying mobility, vast arsenals of melee & ranged weapons, legendary customizable heroes with epic abilities.",24 Entertainment,NetEase Montreal,"ACTION,MULTIPLAYER,BATTLE_ROYALE"
dc3a03c1ce5d467bb5db4693be7dbef8,Dead by Daylight,dead-by-daylight,1999,2021-12-09T16:00:00.000Z,,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",,,
cf42bfef8bdc4a3b9db9ae500c9bfe06,Prison Architect,prison-architect,2999,2021-12-09T16:00:00.000Z,"Windows,Mac OS","Welcome Wardens!

Only the world’s most ruthless Warden can contain the world’s most ruthless inmates. Design and develop your personalized penitentiary in Prison Architect.

",,,
eb684923ec8a4f74b897103362207588,MONOPOLY MADNESS,monopoly-madness,2999,2021-12-09T16:00:00.000Z,,Rediscover the MONOPOLY you love in a way you’ve never seen before. This is Madness!,,,
ee6e67c617284890a384cee6768b2cf8,Wytchwood,wytchwood,1999,2021-12-09T17:00:00.000Z,Windows,"Wytchwood is a crafting adventure game set in a land of gothic fables and fairytales. As the old witch of the woods, explore a strange countryside, collect magic ingredients, brew sorcerous spells, and pass judgement upon a capricious cast of characters.",Alientrap,Whitethorn Games,"SIMULATION,ADVENTURE"
a89804c0a3be4493a4c0ee999c24f913,Bus Simulator 21 - Modding Kit,bus-simulator-21,0,2021-12-09T17:30:00.000Z,Windows,"Enhance your bus driving experience by creating your own buses, maps , decals as well as exterior skins, interior designs and more with the 
official Bus Simulator 21 modding kit.

We can't wait to see all of your creations.
",,,
6e708b1e608f446eaa80488d26b7444b,F.I.S.T.: Forged In Shadow Torch,fist-forged-in-shadow-torch,2999,2021-12-14T08:00:00.000Z,Windows,"Explore more than a dozen unique areas in a Metroidvania style map. 
The Fist, Drill, and Whip are three weapons with completely different fighting styles that offer seamless switching between high combo, high damage, and long range attacks. ",TiGames,Antiidelay,"PLATFORMER,METROIDVANIA,ACTION"
